LATITUDE,LONGITUDE,AVERAGE_SPEED,MAXIMUM_SPEED,NUMBER_OF_VEHICLES
40.8828735351563,29.2510986328125,43.935483870967744,128,411.35483870967744
40.8828735351563,29.2620849609375,32.74193548387097,105,141.83870967741936
40.8828735351563,29.3170166015625,75.38709677419355,166,234.90322580645162
40.8828735351563,29.3280029296875,54.58064516129032,141,7.580645161290323
40.8828735351563,29.3389892578125,54.774193548387096,102,7.548387096774194
40.8828735351563,29.3499755859375,46.0,127,148.4516129032258
40.8828735351563,29.3719482421875,84.90322580645162,176,152.09677419354838
40.8828735351563,29.3829345703125,83.54838709677419,172,289.48387096774195
40.8883666992188,29.1741943359375,46.096774193548384,127,120.96774193548387
40.8883666992188,29.1851806640625,31.806451612903224,104,195.6451612903226
40.8883666992188,29.1961669921875,32.41935483870968,111,128.61290322580646
40.8883666992188,29.2071533203125,33.903225806451616,98,64.3225806451613
40.8883666992188,29.2291259765625,54.16129032258065,129,36.70967741935484
40.8883666992188,29.2401123046875,46.774193548387096,134,432.64516129032256
40.8883666992188,29.2620849609375,26.806451612903224,83,76.16129032258064
40.8883666992188,29.3170166015625,85.17857142857143,121,3.0
40.8883666992188,29.3280029296875,64.48387096774194,149,215.51612903225808
40.8883666992188,29.3499755859375,57.61290322580645,109,92.09677419354838
40.8883666992188,29.3719482421875,87.16129032258064,177,333.51612903225805
40.8938598632813,29.1632080078125,40.67741935483871,115,99.96774193548387
40.8938598632813,29.1741943359375,44.83870967741935,131,136.38709677419354
40.8938598632813,29.1851806640625,22.70967741935484,65,70.7741935483871
40.8938598632813,29.1961669921875,29.580645161290324,101,106.70967741935483
40.8938598632813,29.2071533203125,36.32258064516129,111,106.19354838709677
40.8938598632813,29.2291259765625,48.0,151,366.5483870967742
40.8938598632813,29.2401123046875,37.32258064516129,95,92.25806451612904
40.8938598632813,29.2510986328125,29.06451612903226,84,110.25806451612904
40.8938598632813,29.3280029296875,67.57894736842105,105,2.0526315789473686
40.8938598632813,29.3499755859375,37.41935483870968,106,133.0
40.8938598632813,29.3609619140625,25.903225806451612,89,103.45161290322581
40.8938598632813,29.3719482421875,87.29032258064517,170,311.16129032258067
40.8993530273438,29.1412353515625,56.67741935483871,105,35.29032258064516
40.8993530273438,29.1522216796875,57.38709677419355,118,79.48387096774194
40.8993530273438,29.1632080078125,50.45161290322581,130,136.67741935483872
40.8993530273438,29.1741943359375,33.096774193548384,121,94.80645161290323
40.8993530273438,29.1851806640625,23.0,67,76.54838709677419
40.8993530273438,29.1961669921875,25.06451612903226,68,57.83870967741935
40.8993530273438,29.2071533203125,37.25806451612903,112,173.96774193548387
40.8993530273438,29.2181396484375,44.935483870967744,148,314.4516129032258
40.8993530273438,29.2291259765625,45.61290322580645,138,178.70967741935485
40.8993530273438,29.2510986328125,25.612903225806452,73,85.70967741935483
40.8993530273438,29.2620849609375,31.870967741935484,88,129.4516129032258
40.8993530273438,29.2730712890625,34.25806451612903,94,121.06451612903226
40.8993530273438,29.3280029296875,71.66666666666667,97,2.5
40.8993530273438,29.3499755859375,35.29032258064516,84,53.29032258064516
40.8993530273438,29.3609619140625,48.41935483870968,156,147.74193548387098
40.8993530273438,29.3719482421875,71.35483870967742,171,354.3225806451613
40.9048461914063,29.1412353515625,55.064516129032256,120,102.16129032258064
40.9048461914063,29.1522216796875,55.67741935483871,106,69.58064516129032
40.9048461914063,29.1632080078125,32.096774193548384,108,72.35483870967742
